epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,17.027,0.92255,4.95787,0.94449,0.28539,0.11699,0.05035,0.04305,0.6662,3.98899,0.86697,5.60572e-05,5.60572e-05,5.60572e-05
2,31.3419,0.85458,3.59268,0.90295,0.32508,0.20336,0.14051,0.11887,0.67069,2.99346,0.89483,0.000108682,0.000108682,0.000108682
3,46.0739,0.82002,2.93292,0.89948,0.52478,0.2378,0.20909,0.17848,0.62911,2.70693,0.87335,0.000157588,0.000157588,0.000157588
4,60.4416,0.78839,2.49691,0.89725,0.37658,0.35643,0.27426,0.23055,0.63078,2.25004,0.88691,0.000152269,0.000152269,0.000152269
5,73.8251,0.77643,2.26142,0.89816,0.36959,0.42073,0.33306,0.28667,0.60484,1.99869,0.87958,0.000146692,0.000146692,0.000146692
6,87.2563,0.75326,2.09672,0.89295,0.36442,0.48603,0.39184,0.3374,0.60879,1.8857,0.88886,0.000141115,0.000141115,0.000141115
7,101.357,0.74031,1.96916,0.89152,0.54662,0.42161,0.43856,0.37352,0.61337,1.73011,0.88866,0.000135538,0.000135538,0.000135538
8,115.695,0.73124,1.84011,0.89069,0.43137,0.49903,0.46718,0.40082,0.59623,1.63613,0.87085,0.000129961,0.000129961,0.000129961
9,128.853,0.7148,1.74929,0.88842,0.55216,0.464,0.4883,0.41874,0.60677,1.58033,0.87926,0.000124384,0.000124384,0.000124384
10,142.138,0.70908,1.66015,0.88318,0.53655,0.52594,0.53982,0.46673,0.5919,1.48775,0.87616,0.000118807,0.000118807,0.000118807
11,156.094,0.70989,1.60605,0.8828,0.53475,0.52018,0.52967,0.45628,0.58329,1.48461,0.87138,0.00011323,0.00011323,0.00011323
12,169.987,0.70172,1.54705,0.87609,0.55454,0.53002,0.56351,0.48883,0.57481,1.40285,0.86982,0.000107653,0.000107653,0.000107653
13,183.37,0.69328,1.50206,0.87591,0.59034,0.54817,0.59385,0.51547,0.58095,1.33788,0.87315,0.000102076,0.000102076,0.000102076
14,196.997,0.68562,1.456,0.87952,0.5698,0.59405,0.61553,0.53465,0.57302,1.29374,0.86854,9.6499e-05,9.6499e-05,9.6499e-05
15,210.929,0.68476,1.38558,0.87547,0.55173,0.59775,0.61299,0.53514,0.5654,1.28462,0.86807,9.0922e-05,9.0922e-05,9.0922e-05
16,224.44,0.66622,1.33848,0.87144,0.56959,0.60907,0.61631,0.53727,0.5585,1.27641,0.86182,8.5345e-05,8.5345e-05,8.5345e-05
17,237.58,0.66499,1.32365,0.87288,0.56417,0.61964,0.64221,0.55976,0.55853,1.2795,0.85967,7.9768e-05,7.9768e-05,7.9768e-05
18,251.326,0.66679,1.27682,0.87327,0.70309,0.56447,0.64525,0.56114,0.55808,1.22503,0.8612,7.4191e-05,7.4191e-05,7.4191e-05
19,265.908,0.65401,1.24107,0.87087,0.60597,0.6046,0.6516,0.56701,0.55571,1.18207,0.86021,6.8614e-05,6.8614e-05,6.8614e-05
20,279.376,0.65415,1.25152,0.8673,0.60107,0.63493,0.67264,0.5844,0.55949,1.1422,0.86277,6.3037e-05,6.3037e-05,6.3037e-05
21,316.456,0.59793,1.15901,0.84745,0.57454,0.65129,0.66372,0.57736,0.55628,1.12793,0.86221,5.746e-05,5.746e-05,5.746e-05
22,329.793,0.59123,1.12262,0.84417,0.65813,0.6093,0.67202,0.58454,0.55336,1.11542,0.86024,5.1883e-05,5.1883e-05,5.1883e-05
23,343.345,0.58905,1.08842,0.84726,0.60931,0.62162,0.68357,0.59708,0.5453,1.06672,0.85361,4.6306e-05,4.6306e-05,4.6306e-05
24,357.493,0.58295,1.05366,0.84277,0.72773,0.60357,0.68676,0.60022,0.54082,1.06465,0.85414,4.0729e-05,4.0729e-05,4.0729e-05
25,371.413,0.57912,1.04653,0.84131,0.60484,0.66901,0.69297,0.60617,0.53788,1.05686,0.8564,3.5152e-05,3.5152e-05,3.5152e-05
26,385.307,0.57582,1.01814,0.84184,0.63534,0.66374,0.69504,0.60882,0.53629,1.03464,0.85447,2.9575e-05,2.9575e-05,2.9575e-05
27,398.958,0.57664,1.01346,0.84114,0.62348,0.67002,0.70259,0.61533,0.53426,1.022,0.85275,2.3998e-05,2.3998e-05,2.3998e-05
28,413.552,0.57358,1.00207,0.84166,0.62663,0.67769,0.70294,0.61643,0.53485,1.0189,0.85355,1.8421e-05,1.8421e-05,1.8421e-05
29,427.983,0.56857,0.97992,0.84262,0.63637,0.66143,0.70119,0.61387,0.5331,1.01385,0.85098,1.2844e-05,1.2844e-05,1.2844e-05
30,441.842,0.56692,0.97618,0.83935,0.64702,0.66987,0.70384,0.61806,0.53042,1.00723,0.85095,7.267e-06,7.267e-06,7.267e-06
