epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,28.4898,0.85192,5.12809,0.93686,0.25386,0.08589,0.05126,0.04385,0.64983,4.49071,0.86891,5.60572e-05,5.60572e-05,5.60572e-05
2,46.0956,0.81274,4.03714,0.91539,0.31294,0.16977,0.1251,0.10593,0.67247,3.63658,0.92698,0.000108682,0.000108682,0.000108682
3,63.1342,0.79819,3.33645,0.9187,0.49608,0.20012,0.20424,0.17469,0.62771,2.93568,0.91954,0.000157588,0.000157588,0.000157588
4,79.9598,0.76201,2.79285,0.91545,0.54899,0.24751,0.28779,0.24382,0.64367,2.59096,0.95214,0.000152269,0.000152269,0.000152269
5,96.8636,0.75099,2.48431,0.91896,0.46591,0.3615,0.34671,0.29825,0.60233,2.22837,0.92102,0.000146692,0.000146692,0.000146692
6,113.908,0.72434,2.26439,0.91065,0.44243,0.46829,0.4057,0.34809,0.60682,2.13976,0.91612,0.000141115,0.000141115,0.000141115
7,130.346,0.70595,2.1141,0.90782,0.43779,0.52076,0.47199,0.40809,0.59813,1.88543,0.91535,0.000135538,0.000135538,0.000135538
8,147.205,0.70227,1.97469,0.90705,0.48885,0.5267,0.48721,0.42105,0.58137,1.80471,0.90127,0.000129961,0.000129961,0.000129961
9,163.555,0.68959,1.87534,0.90977,0.56459,0.51965,0.52333,0.45367,0.58375,1.80986,0.90854,0.000124384,0.000124384,0.000124384
10,180.326,0.67905,1.75958,0.89902,0.60213,0.52337,0.54967,0.48016,0.56577,1.64921,0.89668,0.000118807,0.000118807,0.000118807
11,196.928,0.67885,1.71499,0.89728,0.60186,0.5567,0.58219,0.50553,0.58555,1.57887,0.90903,0.00011323,0.00011323,0.00011323
12,213.406,0.67415,1.62752,0.89599,0.58309,0.60543,0.60442,0.52639,0.5637,1.52487,0.89321,0.000107653,0.000107653,0.000107653
13,230.308,0.66115,1.56431,0.89318,0.62954,0.57856,0.61844,0.53979,0.56808,1.50252,0.89945,0.000102076,0.000102076,0.000102076
14,246.64,0.65991,1.49831,0.89658,0.60795,0.62867,0.64852,0.566,0.5676,1.41247,0.89941,9.6499e-05,9.6499e-05,9.6499e-05
15,263.613,0.65071,1.43126,0.89001,0.63378,0.63343,0.65199,0.57077,0.56387,1.36616,0.90153,9.0922e-05,9.0922e-05,9.0922e-05
16,280.102,0.63993,1.38896,0.88618,0.66496,0.64291,0.67797,0.59189,0.5604,1.31819,0.89761,8.5345e-05,8.5345e-05,8.5345e-05
17,296.672,0.63133,1.34867,0.88143,0.66662,0.6626,0.69117,0.60876,0.54533,1.2855,0.88978,7.9768e-05,7.9768e-05,7.9768e-05
18,313.389,0.63706,1.32496,0.88842,0.69982,0.64551,0.70145,0.61668,0.54063,1.25077,0.88447,7.4191e-05,7.4191e-05,7.4191e-05
19,330.116,0.62092,1.27846,0.88507,0.65662,0.68764,0.71181,0.62267,0.54604,1.21739,0.89237,6.8614e-05,6.8614e-05,6.8614e-05
20,346.796,0.62574,1.28066,0.88464,0.6858,0.68023,0.72456,0.63771,0.53579,1.20438,0.88423,6.3037e-05,6.3037e-05,6.3037e-05
21,389.142,0.57834,1.21284,0.85997,0.71981,0.65361,0.71278,0.62661,0.53955,1.21092,0.87907,5.746e-05,5.746e-05,5.746e-05
22,405.558,0.57491,1.16912,0.86396,0.72032,0.69496,0.73283,0.64631,0.53061,1.1529,0.88323,5.1883e-05,5.1883e-05,5.1883e-05
23,422.372,0.56344,1.12657,0.85676,0.68743,0.71825,0.7344,0.64793,0.53041,1.12312,0.88058,4.6306e-05,4.6306e-05,4.6306e-05
24,439.149,0.56079,1.091,0.85594,0.71587,0.69403,0.74635,0.65786,0.53287,1.11174,0.88233,4.0729e-05,4.0729e-05,4.0729e-05
25,455.673,0.56066,1.08037,0.85882,0.70934,0.70708,0.74457,0.65592,0.52766,1.09513,0.87754,3.5152e-05,3.5152e-05,3.5152e-05
26,472.747,0.55723,1.05247,0.8567,0.79471,0.67067,0.76204,0.66928,0.52593,1.06438,0.87818,2.9575e-05,2.9575e-05,2.9575e-05
27,489.773,0.5518,1.03793,0.85358,0.77561,0.70423,0.76279,0.67315,0.52319,1.04639,0.87833,2.3998e-05,2.3998e-05,2.3998e-05
28,506.425,0.55182,1.03051,0.85954,0.78667,0.70676,0.76473,0.67548,0.51866,1.03002,0.87719,1.8421e-05,1.8421e-05,1.8421e-05
29,523.099,0.54959,1.0081,0.85229,0.77606,0.71191,0.77169,0.68201,0.51411,1.02911,0.87211,1.2844e-05,1.2844e-05,1.2844e-05
30,540.171,0.54363,0.99496,0.85565,0.78763,0.70076,0.77138,0.68139,0.51532,1.01754,0.87322,7.267e-06,7.267e-06,7.267e-06
