image,tp,fp,fn,predictions,ground_truth,visualization
data\traffic-signs\valid\images\AUTO_COLLECTED_PICTURE_1_png.rf.34992cea903ef898620db310feafc84e.jpg,1,1,0,2,1,outputs\error_analysis\threshold_yolov8n_640_conf025\visualizations\AUTO_COLLECTED_PICTURE_1_png.rf.34992cea903ef898620db310feafc84e.jpg
data\traffic-signs\valid\images\AUTO_COLLECTED_PICTURE_208_png.rf.ceb34de645c4357e66fefc3c7992338e.jpg,1,0,0,1,1,outputs\error_analysis\threshold_yolov8n_640_conf025\visualizations\AUTO_COLLECTED_PICTURE_208_png.rf.ceb34de645c4357e66fefc3c7992338e.jpg
data\traffic-signs\valid\images\AUTO_COLLECTED_PICTURE_212_png.rf.b5161848082fa09bbbfc70adc08a8f38.jpg,1,0,0,1,1,outputs\error_analysis\threshold_yolov8n_640_conf025\visualizations\AUTO_COLLECTED_PICTURE_212_png.rf.b5161848082fa09bbbfc70adc08a8f38.jpg
data\traffic-signs\valid\images\AUTO_COLLECTED_PICTURE_213_png.rf.d10b592732942e7dea1aad3545b2fa27.jpg,2,0,0,2,2,outputs\error_analysis\threshold_yolov8n_640_conf025\visualizations\AUTO_COLLECTED_PICTURE_213_png.rf.d10b592732942e7dea1aad3545b2fa27.jpg
data\traffic-signs\valid\images\AUTO_COLLECTED_PICTURE_216_png.rf.ab8e031d13861da7056ef106ebfcf9b9.jpg,2,0,2,2,4,outputs\error_analysis\threshold_yolov8n_640_conf025\visualizations\AUTO_COLLECTED_PICTURE_216_png.rf.ab8e031d13861da7056ef106ebfcf9b9.jpg
data\traffic-signs\valid\images\AUTO_COLLECTED_PICTURE_218_png.rf.abcc06c8a9bedc4bb540cee5dc0e364c.jpg,2,0,0,2,2,outputs\error_analysis\threshold_yolov8n_640_conf025\visualizations\AUTO_COLLECTED_PICTURE_218_png.rf.abcc06c8a9bedc4bb540cee5dc0e364c.jpg
data\traffic-signs\valid\images\AUTO_COLLECTED_PICTURE_220_png.rf.d14580f18ba49a6166ff2896570c620d.jpg,0,2,0,2,1,outputs\error_analysis\threshold_yolov8n_640_conf025\visualizations\AUTO_COLLECTED_PICTURE_220_png.rf.d14580f18ba49a6166ff2896570c620d.jpg
data\traffic-signs\valid\images\AUTO_COLLECTED_PICTURE_226_png.rf.4442353eedf9283e9be83689704d9afc.jpg,2,0,0,2,2,outputs\error_analysis\threshold_yolov8n_640_conf025\visualizations\AUTO_COLLECTED_PICTURE_226_png.rf.4442353eedf9283e9be83689704d9afc.jpg
data\traffic-signs\valid\images\AUTO_COLLECTED_PICTURE_227_png.rf.e3b58baf770b6433be58c884653d52ef.jpg,3,3,0,6,3,outputs\error_analysis\threshold_yolov8n_640_conf025\visualizations\AUTO_COLLECTED_PICTURE_227_png.rf.e3b58baf770b6433be58c884653d52ef.jpg
data\traffic-signs\valid\images\AUTO_COLLECTED_PICTURE_22_png.rf.20d9e75fafd0b3cac4682a63a6d35ad9.jpg,2,0,0,2,2,outputs\error_analysis\threshold_yolov8n_640_conf025\visualizations\AUTO_COLLECTED_PICTURE_22_png.rf.20d9e75fafd0b3cac4682a63a6d35ad9.jpg
data\traffic-signs\valid\images\AUTO_COLLECTED_PICTURE_26_png.rf.450ad261005a81d8ba7db7fd0cc3b988.jpg,2,0,0,2,2,outputs\error_analysis\threshold_yolov8n_640_conf025\visualizations\AUTO_COLLECTED_PICTURE_26_png.rf.450ad261005a81d8ba7db7fd0cc3b988.jpg
data\traffic-signs\valid\images\AUTO_COLLECTED_PICTURE_27_png.rf.67531d8f3f1abb8e2ed4a5e637b1c3ad.jpg,0,5,1,5,3,outputs\error_analysis\threshold_yolov8n_640_conf025\visualizations\AUTO_COLLECTED_PICTURE_27_png.rf.67531d8f3f1abb8e2ed4a5e637b1c3ad.jpg
data\traffic-signs\valid\images\AUTO_COLLECTED_PICTURE_32_png.rf.79b08b757a16ad18f0608960fc9f765f.jpg,1,0,0,1,1,outputs\error_analysis\threshold_yolov8n_640_conf025\visualizations\AUTO_COLLECTED_PICTURE_32_png.rf.79b08b757a16ad18f0608960fc9f765f.jpg
data\traffic-signs\valid\images\AUTO_COLLECTED_PICTURE_36_png.rf.9237114eef890efd8efe06434bac99eb.jpg,1,3,0,4,1,outputs\error_analysis\threshold_yolov8n_640_conf025\visualizations\AUTO_COLLECTED_PICTURE_36_png.rf.9237114eef890efd8efe06434bac99eb.jpg
data\traffic-signs\valid\images\AUTO_COLLECTED_PICTURE_38_png.rf.61438c17bbb24b828081b12e2f97f5be.jpg,1,2,0,3,1,outputs\error_analysis\threshold_yolov8n_640_conf025\visualizations\AUTO_COLLECTED_PICTURE_38_png.rf.61438c17bbb24b828081b12e2f97f5be.jpg
data\traffic-signs\valid\images\AUTO_COLLECTED_PICTURE_3_png.rf.c1bafe177dfcb02f19ea935f92ce9d4b.jpg,1,2,0,3,1,outputs\error_analysis\threshold_yolov8n_640_conf025\visualizations\AUTO_COLLECTED_PICTURE_3_png.rf.c1bafe177dfcb02f19ea935f92ce9d4b.jpg
data\traffic-signs\valid\images\AUTO_COLLECTED_PICTURE_40_png.rf.4d41c777c3da41ab953178d80eac3471.jpg,2,2,0,4,3,outputs\error_analysis\threshold_yolov8n_640_conf025\visualizations\AUTO_COLLECTED_PICTURE_40_png.rf.4d41c777c3da41ab953178d80eac3471.jpg
data\traffic-signs\valid\images\AUTO_COLLECTED_PICTURE_41_png.rf.3939f64a218078c650405113806c39cb.jpg,0,3,0,3,1,outputs\error_analysis\threshold_yolov8n_640_conf025\visualizations\AUTO_COLLECTED_PICTURE_41_png.rf.3939f64a218078c650405113806c39cb.jpg
data\traffic-signs\valid\images\AUTO_COLLECTED_PICTURE_45_png.rf.f86770932cf0a4871b97ea53c9e80aae.jpg,1,0,1,1,2,outputs\error_analysis\threshold_yolov8n_640_conf025\visualizations\AUTO_COLLECTED_PICTURE_45_png.rf.f86770932cf0a4871b97ea53c9e80aae.jpg
data\traffic-signs\valid\images\AUTO_COLLECTED_PICTURE_48_png.rf.cde0988f8832643d81dfe5e0c978452d.jpg,1,0,0,1,1,outputs\error_analysis\threshold_yolov8n_640_conf025\visualizations\AUTO_COLLECTED_PICTURE_48_png.rf.cde0988f8832643d81dfe5e0c978452d.jpg
data\traffic-signs\valid\images\AUTO_COLLECTED_PICTURE_50_png.rf.c027c7bc58a1afcab8f36dbfa2ef0ac9.jpg,1,1,0,2,1,outputs\error_analysis\threshold_yolov8n_640_conf025\visualizations\AUTO_COLLECTED_PICTURE_50_png.rf.c027c7bc58a1afcab8f36dbfa2ef0ac9.jpg
data\traffic-signs\valid\images\AUTO_COLLECTED_PICTURE_51_png.rf.b1e1327b69360ff5cfacb32acc538c9f.jpg,1,1,0,2,1,outputs\error_analysis\threshold_yolov8n_640_conf025\visualizations\AUTO_COLLECTED_PICTURE_51_png.rf.b1e1327b69360ff5cfacb32acc538c9f.jpg
data\traffic-signs\valid\images\AUTO_COLLECTED_PICTURE_52_png.rf.dcf55333f58f63e4a0d9ff0242330a59.jpg,2,0,0,2,2,outputs\error_analysis\threshold_yolov8n_640_conf025\visualizations\AUTO_COLLECTED_PICTURE_52_png.rf.dcf55333f58f63e4a0d9ff0242330a59.jpg
