image,tp,fp,fn,predictions,ground_truth,visualization
data\traffic-signs\valid\images\PIC-00401-_png_jpg.rf.6fa0f438370f49e174e91242ad767258.jpg,1,0,1,1,2,outputs\error_analysis\threshold_yolov8n_640_conf025\visualizations\PIC-00401-_png_jpg.rf.6fa0f438370f49e174e91242ad767258.jpg
data\traffic-signs\valid\images\PIC-00402-_png_jpg.rf.940c839e150593cd5b47799663801151.jpg,1,1,0,2,2,outputs\error_analysis\threshold_yolov8n_640_conf025\visualizations\PIC-00402-_png_jpg.rf.940c839e150593cd5b47799663801151.jpg
data\traffic-signs\valid\images\PIC-00403-_png_jpg.rf.e848efd7258d5a161d916fbe1522f4ca.jpg,1,0,0,1,1,outputs\error_analysis\threshold_yolov8n_640_conf025\visualizations\PIC-00403-_png_jpg.rf.e848efd7258d5a161d916fbe1522f4ca.jpg
data\traffic-signs\valid\images\PIC-00405-_png_jpg.rf.e179f6468b801fe9162bbd0920fb60ba.jpg,1,0,0,1,1,outputs\error_analysis\threshold_yolov8n_640_conf025\visualizations\PIC-00405-_png_jpg.rf.e179f6468b801fe9162bbd0920fb60ba.jpg
data\traffic-signs\valid\images\PIC-00406-_png_jpg.rf.d1c59a023feb6fa3b1b10902d7f4eacd.jpg,2,0,0,2,2,outputs\error_analysis\threshold_yolov8n_640_conf025\visualizations\PIC-00406-_png_jpg.rf.d1c59a023feb6fa3b1b10902d7f4eacd.jpg
data\traffic-signs\valid\images\PIC-00407-_png_jpg.rf.5d51e8f355871e7f12f6932460ee1192.jpg,2,0,0,2,2,outputs\error_analysis\threshold_yolov8n_640_conf025\visualizations\PIC-00407-_png_jpg.rf.5d51e8f355871e7f12f6932460ee1192.jpg
data\traffic-signs\valid\images\PIC-00408-_png_jpg.rf.3fd9ac55be31b0badb31d79eea2e9c17.jpg,1,0,0,1,1,outputs\error_analysis\threshold_yolov8n_640_conf025\visualizations\PIC-00408-_png_jpg.rf.3fd9ac55be31b0badb31d79eea2e9c17.jpg
data\traffic-signs\valid\images\PIC-00409-_png_jpg.rf.c798209f7b7b4fe29051f5e05678cec8.jpg,2,1,0,3,2,outputs\error_analysis\threshold_yolov8n_640_conf025\visualizations\PIC-00409-_png_jpg.rf.c798209f7b7b4fe29051f5e05678cec8.jpg
data\traffic-signs\valid\images\PIC-00411-_png_jpg.rf.4025dd5f3d384d69cbecdbed3cd25bf6.jpg,1,0,0,1,1,outputs\error_analysis\threshold_yolov8n_640_conf025\visualizations\PIC-00411-_png_jpg.rf.4025dd5f3d384d69cbecdbed3cd25bf6.jpg
data\traffic-signs\valid\images\PIC-00412-_png_jpg.rf.1da761565e76c6d858f3a0af31cdba53.jpg,2,0,0,2,2,outputs\error_analysis\threshold_yolov8n_640_conf025\visualizations\PIC-00412-_png_jpg.rf.1da761565e76c6d858f3a0af31cdba53.jpg
data\traffic-signs\valid\images\PIC-00413-_png_jpg.rf.72e256a9a8cd39093a17a7b09f14f213.jpg,2,2,0,4,3,outputs\error_analysis\threshold_yolov8n_640_conf025\visualizations\PIC-00413-_png_jpg.rf.72e256a9a8cd39093a17a7b09f14f213.jpg
data\traffic-signs\valid\images\SNAG-00000_png_jpg.rf.7dcab4d9bf239cbdb9712043d42d4b57.jpg,2,0,0,2,2,outputs\error_analysis\threshold_yolov8n_640_conf025\visualizations\SNAG-00000_png_jpg.rf.7dcab4d9bf239cbdb9712043d42d4b57.jpg
data\traffic-signs\valid\images\SNAG-00001_png_jpg.rf.23ac3f70c5afb5253eb92c133be69047.jpg,2,1,0,3,2,outputs\error_analysis\threshold_yolov8n_640_conf025\visualizations\SNAG-00001_png_jpg.rf.23ac3f70c5afb5253eb92c133be69047.jpg
data\traffic-signs\valid\images\SNAG-00002_png_jpg.rf.64b7c25a95ffe3c6c710cf3867b9fece.jpg,4,0,0,4,4,outputs\error_analysis\threshold_yolov8n_640_conf025\visualizations\SNAG-00002_png_jpg.rf.64b7c25a95ffe3c6c710cf3867b9fece.jpg
data\traffic-signs\valid\images\SNAG-00003_png_jpg.rf.a8df704d179e87563d6cf439e7a79dac.jpg,1,0,0,1,1,outputs\error_analysis\threshold_yolov8n_640_conf025\visualizations\SNAG-00003_png_jpg.rf.a8df704d179e87563d6cf439e7a79dac.jpg
data\traffic-signs\valid\images\SNAG-00004_png_jpg.rf.5c8a690fd10da10156bea3ecae08dc62.jpg,3,2,1,5,4,outputs\error_analysis\threshold_yolov8n_640_conf025\visualizations\SNAG-00004_png_jpg.rf.5c8a690fd10da10156bea3ecae08dc62.jpg
data\traffic-signs\valid\images\SNAG-00005_png_jpg.rf.9b7ba9ac2317163a801d134fafb2205d.jpg,1,0,0,1,1,outputs\error_analysis\threshold_yolov8n_640_conf025\visualizations\SNAG-00005_png_jpg.rf.9b7ba9ac2317163a801d134fafb2205d.jpg
data\traffic-signs\valid\images\SNAG-00006_png_jpg.rf.5a41e6de0a369ce23ea694e301e30984.jpg,2,2,0,4,2,outputs\error_analysis\threshold_yolov8n_640_conf025\visualizations\SNAG-00006_png_jpg.rf.5a41e6de0a369ce23ea694e301e30984.jpg
data\traffic-signs\valid\images\SNAG-00007_png_jpg.rf.5bb65bc752222eeaf75074830ee72a41.jpg,1,0,0,1,1,outputs\error_analysis\threshold_yolov8n_640_conf025\visualizations\SNAG-00007_png_jpg.rf.5bb65bc752222eeaf75074830ee72a41.jpg
data\traffic-signs\valid\images\SNAG-00008_png_jpg.rf.136b303f752aabe27be06c4550a3d8a4.jpg,1,0,0,1,1,outputs\error_analysis\threshold_yolov8n_640_conf025\visualizations\SNAG-00008_png_jpg.rf.136b303f752aabe27be06c4550a3d8a4.jpg
data\traffic-signs\valid\images\SNAG-00009_png_jpg.rf.7b106c0f2de0640ff5339abe16b1c843.jpg,2,1,0,3,2,outputs\error_analysis\threshold_yolov8n_640_conf025\visualizations\SNAG-00009_png_jpg.rf.7b106c0f2de0640ff5339abe16b1c843.jpg
data\traffic-signs\valid\images\SNAG-00010_png_jpg.rf.2429ed35ea904951944f07b3566018d2.jpg,2,0,0,2,2,outputs\error_analysis\threshold_yolov8n_640_conf025\visualizations\SNAG-00010_png_jpg.rf.2429ed35ea904951944f07b3566018d2.jpg
data\traffic-signs\valid\images\SNAG-00011_png_jpg.rf.c3f6d9614a78bcef280071db2e02a08d.jpg,3,0,0,3,3,outputs\error_analysis\threshold_yolov8n_640_conf025\visualizations\SNAG-00011_png_jpg.rf.c3f6d9614a78bcef280071db2e02a08d.jpg
data\traffic-signs\valid\images\SNAG-00012_png_jpg.rf.34cdc4ea36d1cced9a10879e9e808344.jpg,2,0,0,2,2,outputs\error_analysis\threshold_yolov8n_640_conf025\visualizations\SNAG-00012_png_jpg.rf.34cdc4ea36d1cced9a10879e9e808344.jpg
data\traffic-signs\valid\images\SNAG-00013_png_jpg.rf.5655f1d044e0f5cccc6cf3c17757e6e0.jpg,1,0,0,1,1,outputs\error_analysis\threshold_yolov8n_640_conf025\visualizations\SNAG-00013_png_jpg.rf.5655f1d044e0f5cccc6cf3c17757e6e0.jpg
data\traffic-signs\valid\images\SNAG-00014_png_jpg.rf.69143aca9eb36598083bb8c9ff5e97f3.jpg,1,0,0,1,1,outputs\error_analysis\threshold_yolov8n_640_conf025\visualizations\SNAG-00014_png_jpg.rf.69143aca9eb36598083bb8c9ff5e97f3.jpg
data\traffic-signs\valid\images\SNAG-00015_png_jpg.rf.62a9e36011a59c52ce76c3067f3d6f53.jpg,1,1,0,2,1,outputs\error_analysis\threshold_yolov8n_640_conf025\visualizations\SNAG-00015_png_jpg.rf.62a9e36011a59c52ce76c3067f3d6f53.jpg
data\traffic-signs\valid\images\SNAG-00016_png_jpg.rf.a20b6a9a3f604f1d619e18b7a507b4d0.jpg,1,0,0,1,1,outputs\error_analysis\threshold_yolov8n_640_conf025\visualizations\SNAG-00016_png_jpg.rf.a20b6a9a3f604f1d619e18b7a507b4d0.jpg
data\traffic-signs\valid\images\SNAG-00017_png_jpg.rf.a4ece30ed6fd85ecc65ad4e8cc8f195b.jpg,1,0,0,1,1,outputs\error_analysis\threshold_yolov8n_640_conf025\visualizations\SNAG-00017_png_jpg.rf.a4ece30ed6fd85ecc65ad4e8cc8f195b.jpg
data\traffic-signs\valid\images\SNAG-00018_png_jpg.rf.baa809519cc98eabcc554485dc2fffeb.jpg,2,0,0,2,2,outputs\error_analysis\threshold_yolov8n_640_conf025\visualizations\SNAG-00018_png_jpg.rf.baa809519cc98eabcc554485dc2fffeb.jpg
data\traffic-signs\valid\images\SNAG-00019_png_jpg.rf.85ab5f5947d5a4bef9c1fd2c9a281592.jpg,1,0,0,1,1,outputs\error_analysis\threshold_yolov8n_640_conf025\visualizations\SNAG-00019_png_jpg.rf.85ab5f5947d5a4bef9c1fd2c9a281592.jpg
data\traffic-signs\valid\images\SNAG-00020_png_jpg.rf.23dcdf354340d07c6bccf60aa66df086.jpg,1,0,0,1,1,outputs\error_analysis\threshold_yolov8n_640_conf025\visualizations\SNAG-00020_png_jpg.rf.23dcdf354340d07c6bccf60aa66df086.jpg
data\traffic-signs\valid\images\SNAG-00021_png_jpg.rf.68eecfd6d34c86098af753ac85d1fe80.jpg,3,1,0,4,3,outputs\error_analysis\threshold_yolov8n_640_conf025\visualizations\SNAG-00021_png_jpg.rf.68eecfd6d34c86098af753ac85d1fe80.jpg
data\traffic-signs\valid\images\SNAG-00023_png_jpg.rf.c6083c92ec4e12b15c0c2005c32cdf32.jpg,3,0,0,3,3,outputs\error_analysis\threshold_yolov8n_640_conf025\visualizations\SNAG-00023_png_jpg.rf.c6083c92ec4e12b15c0c2005c32cdf32.jpg
data\traffic-signs\valid\images\SNAG-00024_png_jpg.rf.4c3f15ca5c7e8d4447d6d06861174fb4.jpg,1,0,0,1,1,outputs\error_analysis\threshold_yolov8n_640_conf025\visualizations\SNAG-00024_png_jpg.rf.4c3f15ca5c7e8d4447d6d06861174fb4.jpg
data\traffic-signs\valid\images\SNAG-00025_png_jpg.rf.9ba1a5d3ea6f7665b968ed27d7ff911d.jpg,1,0,0,1,1,outputs\error_analysis\threshold_yolov8n_640_conf025\visualizations\SNAG-00025_png_jpg.rf.9ba1a5d3ea6f7665b968ed27d7ff911d.jpg
data\traffic-signs\valid\images\SNAG-00026_png_jpg.rf.2fefadf5d73d03635b1588798b6f0b11.jpg,2,1,0,3,3,outputs\error_analysis\threshold_yolov8n_640_conf025\visualizations\SNAG-00026_png_jpg.rf.2fefadf5d73d03635b1588798b6f0b11.jpg
data\traffic-signs\valid\images\SNAG-00027_png_jpg.rf.f3e99d49df2c2c21b2dca8c6b091a3bc.jpg,2,1,0,3,3,outputs\error_analysis\threshold_yolov8n_640_conf025\visualizations\SNAG-00027_png_jpg.rf.f3e99d49df2c2c21b2dca8c6b091a3bc.jpg
data\traffic-signs\valid\images\SNAG-00028_png_jpg.rf.43fcf2128f9c8832c3c133f462f7dea4.jpg,1,0,0,1,1,outputs\error_analysis\threshold_yolov8n_640_conf025\visualizations\SNAG-00028_png_jpg.rf.43fcf2128f9c8832c3c133f462f7dea4.jpg
data\traffic-signs\valid\images\SNAG-00029_png_jpg.rf.9b273a1c13b761ec3319583cd5e1412e.jpg,1,0,0,1,1,outputs\error_analysis\threshold_yolov8n_640_conf025\visualizations\SNAG-00029_png_jpg.rf.9b273a1c13b761ec3319583cd5e1412e.jpg
data\traffic-signs\valid\images\SNAG-00030_png_jpg.rf.eaf34267d3f5c437dc505eb473d8a8b2.jpg,1,1,0,2,1,outputs\error_analysis\threshold_yolov8n_640_conf025\visualizations\SNAG-00030_png_jpg.rf.eaf34267d3f5c437dc505eb473d8a8b2.jpg
data\traffic-signs\valid\images\SNAG-00031_png_jpg.rf.72277e294d5887a239af75215caaaafe.jpg,1,1,0,2,1,outputs\error_analysis\threshold_yolov8n_640_conf025\visualizations\SNAG-00031_png_jpg.rf.72277e294d5887a239af75215caaaafe.jpg
data\traffic-signs\valid\images\SNAG-00032_png_jpg.rf.ceb76a0d5abc4896a12228aab559137e.jpg,1,0,0,1,1,outputs\error_analysis\threshold_yolov8n_640_conf025\visualizations\SNAG-00032_png_jpg.rf.ceb76a0d5abc4896a12228aab559137e.jpg
data\traffic-signs\valid\images\SNAG-00033_png_jpg.rf.d58a99ddbbf56b24ca8b27f0dd7048ee.jpg,1,1,0,2,1,outputs\error_analysis\threshold_yolov8n_640_conf025\visualizations\SNAG-00033_png_jpg.rf.d58a99ddbbf56b24ca8b27f0dd7048ee.jpg
data\traffic-signs\valid\images\SNAG-00034_png_jpg.rf.4180c2d18b3ea4b8e86ec849a5b9b506.jpg,3,1,0,4,3,outputs\error_analysis\threshold_yolov8n_640_conf025\visualizations\SNAG-00034_png_jpg.rf.4180c2d18b3ea4b8e86ec849a5b9b506.jpg
data\traffic-signs\valid\images\SNAG-00035_png_jpg.rf.ce754aa8a22c2e9f0150972aad50231b.jpg,2,1,0,3,2,outputs\error_analysis\threshold_yolov8n_640_conf025\visualizations\SNAG-00035_png_jpg.rf.ce754aa8a22c2e9f0150972aad50231b.jpg
data\traffic-signs\valid\images\SNAG-00036_png_jpg.rf.dd06913abd1a00306be65232e4fc27d6.jpg,3,2,1,5,4,outputs\error_analysis\threshold_yolov8n_640_conf025\visualizations\SNAG-00036_png_jpg.rf.dd06913abd1a00306be65232e4fc27d6.jpg
data\traffic-signs\valid\images\SNAG-00037_png_jpg.rf.de4333e30fbdead7aa4ea0ddc26e2301.jpg,2,0,0,2,2,outputs\error_analysis\threshold_yolov8n_640_conf025\visualizations\SNAG-00037_png_jpg.rf.de4333e30fbdead7aa4ea0ddc26e2301.jpg
data\traffic-signs\valid\images\SNAG-00038_png_jpg.rf.83932043ec01f030321e1aac01d845de.jpg,2,0,0,2,2,outputs\error_analysis\threshold_yolov8n_640_conf025\visualizations\SNAG-00038_png_jpg.rf.83932043ec01f030321e1aac01d845de.jpg
data\traffic-signs\valid\images\SNAG-00039_png_jpg.rf.ac815368375492770824079eb0982300.jpg,1,0,0,1,1,outputs\error_analysis\threshold_yolov8n_640_conf025\visualizations\SNAG-00039_png_jpg.rf.ac815368375492770824079eb0982300.jpg
data\traffic-signs\valid\images\SNAG-00040_png_jpg.rf.2a2ee426355c268980baf9402e75a047.jpg,1,0,0,1,1,outputs\error_analysis\threshold_yolov8n_640_conf025\visualizations\SNAG-00040_png_jpg.rf.2a2ee426355c268980baf9402e75a047.jpg
data\traffic-signs\valid\images\SNAG-00041_png_jpg.rf.fe4c0e17dd43d874a04d0b90d08aa058.jpg,1,0,0,1,1,outputs\error_analysis\threshold_yolov8n_640_conf025\visualizations\SNAG-00041_png_jpg.rf.fe4c0e17dd43d874a04d0b90d08aa058.jpg
data\traffic-signs\valid\images\SNAG-00042_png_jpg.rf.e6f98148aec731d00de69bf989a26f6f.jpg,1,0,0,1,1,outputs\error_analysis\threshold_yolov8n_640_conf025\visualizations\SNAG-00042_png_jpg.rf.e6f98148aec731d00de69bf989a26f6f.jpg
data\traffic-signs\valid\images\SNAG-00043_png_jpg.rf.c7cab205f3bb530d3393f5efc64edc37.jpg,1,1,0,2,2,outputs\error_analysis\threshold_yolov8n_640_conf025\visualizations\SNAG-00043_png_jpg.rf.c7cab205f3bb530d3393f5efc64edc37.jpg
data\traffic-signs\valid\images\SNAG-00044_png_jpg.rf.0471e03f5436c8c508451c7f5ff4512b.jpg,2,1,0,3,2,outputs\error_analysis\threshold_yolov8n_640_conf025\visualizations\SNAG-00044_png_jpg.rf.0471e03f5436c8c508451c7f5ff4512b.jpg
data\traffic-signs\valid\images\SNAG-00045_png_jpg.rf.b6ff9b7ef6b0b30f31bd88859752ac91.jpg,1,1,0,2,2,outputs\error_analysis\threshold_yolov8n_640_conf025\visualizations\SNAG-00045_png_jpg.rf.b6ff9b7ef6b0b30f31bd88859752ac91.jpg
data\traffic-signs\valid\images\SNAG-00046_png_jpg.rf.d64f932014d92ac14dd7635f40dcf401.jpg,1,0,0,1,1,outputs\error_analysis\threshold_yolov8n_640_conf025\visualizations\SNAG-00046_png_jpg.rf.d64f932014d92ac14dd7635f40dcf401.jpg
data\traffic-signs\valid\images\SNAG-00047_png_jpg.rf.04363ddd70befcbe33404f272aeaa3a8.jpg,1,0,0,1,1,outputs\error_analysis\threshold_yolov8n_640_conf025\visualizations\SNAG-00047_png_jpg.rf.04363ddd70befcbe33404f272aeaa3a8.jpg
data\traffic-signs\valid\images\SNAG-00048_png_jpg.rf.428c4961a3b66d2b1acaed848a7f17da.jpg,2,0,0,2,2,outputs\error_analysis\threshold_yolov8n_640_conf025\visualizations\SNAG-00048_png_jpg.rf.428c4961a3b66d2b1acaed848a7f17da.jpg
data\traffic-signs\valid\images\SNAG-00049_png_jpg.rf.c03a4fb94f028f767ed819cbdce5eb20.jpg,1,0,0,1,1,outputs\error_analysis\threshold_yolov8n_640_conf025\visualizations\SNAG-00049_png_jpg.rf.c03a4fb94f028f767ed819cbdce5eb20.jpg
data\traffic-signs\valid\images\SNAG-00050_png_jpg.rf.11077b81d13331c14c097a989a44c3fe.jpg,1,0,0,1,1,outputs\error_analysis\threshold_yolov8n_640_conf025\visualizations\SNAG-00050_png_jpg.rf.11077b81d13331c14c097a989a44c3fe.jpg
data\traffic-signs\valid\images\SNAG-00051_png_jpg.rf.cac04503fdf61c02b2a27c575d0c282d.jpg,1,0,0,1,1,outputs\error_analysis\threshold_yolov8n_640_conf025\visualizations\SNAG-00051_png_jpg.rf.cac04503fdf61c02b2a27c575d0c282d.jpg
data\traffic-signs\valid\images\SNAG-00052_png_jpg.rf.9026d979b82d78d0db57d73fe18f366c.jpg,1,0,0,1,1,outputs\error_analysis\threshold_yolov8n_640_conf025\visualizations\SNAG-00052_png_jpg.rf.9026d979b82d78d0db57d73fe18f366c.jpg
data\traffic-signs\valid\images\SNAG-00053_png_jpg.rf.dc1c4c84a08b52b9154efcb9ec6efe45.jpg,1,0,0,1,1,outputs\error_analysis\threshold_yolov8n_640_conf025\visualizations\SNAG-00053_png_jpg.rf.dc1c4c84a08b52b9154efcb9ec6efe45.jpg
data\traffic-signs\valid\images\SNAG-00054_png_jpg.rf.6eb5506fae7ed7fd9e07e4a60ba86f85.jpg,1,0,0,1,1,outputs\error_analysis\threshold_yolov8n_640_conf025\visualizations\SNAG-00054_png_jpg.rf.6eb5506fae7ed7fd9e07e4a60ba86f85.jpg
data\traffic-signs\valid\images\SNAG-00055_png_jpg.rf.9dd9e7c54e9d85de41f7cb4f9c5d643e.jpg,1,0,0,1,1,outputs\error_analysis\threshold_yolov8n_640_conf025\visualizations\SNAG-00055_png_jpg.rf.9dd9e7c54e9d85de41f7cb4f9c5d643e.jpg
data\traffic-signs\valid\images\SNAG-00056_png_jpg.rf.38edc7f06bbc11d80e7b708b3e47eadc.jpg,1,1,0,2,1,outputs\error_analysis\threshold_yolov8n_640_conf025\visualizations\SNAG-00056_png_jpg.rf.38edc7f06bbc11d80e7b708b3e47eadc.jpg
data\traffic-signs\valid\images\SNAG-00057_png_jpg.rf.8a055698df0837d37107c70cc91aff6b.jpg,1,0,0,1,1,outputs\error_analysis\threshold_yolov8n_640_conf025\visualizations\SNAG-00057_png_jpg.rf.8a055698df0837d37107c70cc91aff6b.jpg
data\traffic-signs\valid\images\SNAG-00058_png_jpg.rf.c6d8666de152238238638dda21d9b948.jpg,1,0,0,1,1,outputs\error_analysis\threshold_yolov8n_640_conf025\visualizations\SNAG-00058_png_jpg.rf.c6d8666de152238238638dda21d9b948.jpg
data\traffic-signs\valid\images\SNAG-00059_png_jpg.rf.b811b1a9b15796e448c4654a64ce8a65.jpg,1,0,0,1,1,outputs\error_analysis\threshold_yolov8n_640_conf025\visualizations\SNAG-00059_png_jpg.rf.b811b1a9b15796e448c4654a64ce8a65.jpg
data\traffic-signs\valid\images\SNAG-00060_png_jpg.rf.fc24863676321312a0cd9c2a9c107bd1.jpg,1,0,0,1,1,outputs\error_analysis\threshold_yolov8n_640_conf025\visualizations\SNAG-00060_png_jpg.rf.fc24863676321312a0cd9c2a9c107bd1.jpg
data\traffic-signs\valid\images\SNAG-00061_png_jpg.rf.2fa76cb96b98778df018b372fe7436ef.jpg,1,0,0,1,1,outputs\error_analysis\threshold_yolov8n_640_conf025\visualizations\SNAG-00061_png_jpg.rf.2fa76cb96b98778df018b372fe7436ef.jpg
data\traffic-signs\valid\images\SNAG-00062_png_jpg.rf.dc46f8765ce916dea35e25a45704b76e.jpg,1,0,0,1,1,outputs\error_analysis\threshold_yolov8n_640_conf025\visualizations\SNAG-00062_png_jpg.rf.dc46f8765ce916dea35e25a45704b76e.jpg
data\traffic-signs\valid\images\SNAG-00063_png_jpg.rf.bba766e1408663a522d32cc7f88c9464.jpg,0,0,1,0,1,outputs\error_analysis\threshold_yolov8n_640_conf025\visualizations\SNAG-00063_png_jpg.rf.bba766e1408663a522d32cc7f88c9464.jpg
data\traffic-signs\valid\images\SNAG-00064_png_jpg.rf.251e2b2959d7f83949d8b7261bcb51f1.jpg,1,0,0,1,1,outputs\error_analysis\threshold_yolov8n_640_conf025\visualizations\SNAG-00064_png_jpg.rf.251e2b2959d7f83949d8b7261bcb51f1.jpg
data\traffic-signs\valid\images\SNAG-00065_png_jpg.rf.8c2449b4fa77c0113ee793aa5f3eb1f7.jpg,1,1,0,2,1,outputs\error_analysis\threshold_yolov8n_640_conf025\visualizations\SNAG-00065_png_jpg.rf.8c2449b4fa77c0113ee793aa5f3eb1f7.jpg
data\traffic-signs\valid\images\SNAG-00066_png_jpg.rf.c6d2449bd14b039af45cc397dc56e5fd.jpg,1,0,0,1,1,outputs\error_analysis\threshold_yolov8n_640_conf025\visualizations\SNAG-00066_png_jpg.rf.c6d2449bd14b039af45cc397dc56e5fd.jpg
data\traffic-signs\valid\images\SNAG-00067_png_jpg.rf.0cf6d6baa6a39cdf1af31dfcc35a83e8.jpg,1,0,0,1,1,outputs\error_analysis\threshold_yolov8n_640_conf025\visualizations\SNAG-00067_png_jpg.rf.0cf6d6baa6a39cdf1af31dfcc35a83e8.jpg
data\traffic-signs\valid\images\SNAG-00068_png_jpg.rf.55d62cecafd66d00f4a62f74e539ea60.jpg,1,1,0,2,1,outputs\error_analysis\threshold_yolov8n_640_conf025\visualizations\SNAG-00068_png_jpg.rf.55d62cecafd66d00f4a62f74e539ea60.jpg
data\traffic-signs\valid\images\SNAG-00069_png_jpg.rf.33d03afa3b54278af1c43c1c2534008a.jpg,2,0,0,2,2,outputs\error_analysis\threshold_yolov8n_640_conf025\visualizations\SNAG-00069_png_jpg.rf.33d03afa3b54278af1c43c1c2534008a.jpg
data\traffic-signs\valid\images\SNAG-00070_png_jpg.rf.6269c1a2f8e68b43a3ca101f7b18ecad.jpg,1,0,0,1,1,outputs\error_analysis\threshold_yolov8n_640_conf025\visualizations\SNAG-00070_png_jpg.rf.6269c1a2f8e68b43a3ca101f7b18ecad.jpg
data\traffic-signs\valid\images\SNAG-00071_png_jpg.rf.fd59bb5342fc68536e56cb075b71ce3a.jpg,2,0,0,2,2,outputs\error_analysis\threshold_yolov8n_640_conf025\visualizations\SNAG-00071_png_jpg.rf.fd59bb5342fc68536e56cb075b71ce3a.jpg
data\traffic-signs\valid\images\SNAG-00072_png_jpg.rf.cd27d7f84ab8349d112d77d24a42e8d3.jpg,2,0,0,2,2,outputs\error_analysis\threshold_yolov8n_640_conf025\visualizations\SNAG-00072_png_jpg.rf.cd27d7f84ab8349d112d77d24a42e8d3.jpg
data\traffic-signs\valid\images\SNAG-00073_png_jpg.rf.d3c95e40260ccc9aeec63e48c72855e8.jpg,2,0,0,2,2,outputs\error_analysis\threshold_yolov8n_640_conf025\visualizations\SNAG-00073_png_jpg.rf.d3c95e40260ccc9aeec63e48c72855e8.jpg
data\traffic-signs\valid\images\SNAG-00074_png_jpg.rf.a681132f952dab2e8e792557946602d1.jpg,2,0,0,2,2,outputs\error_analysis\threshold_yolov8n_640_conf025\visualizations\SNAG-00074_png_jpg.rf.a681132f952dab2e8e792557946602d1.jpg
data\traffic-signs\valid\images\SNAG-00075_png_jpg.rf.4e5cc383787113bdb4e8e35ad1d5167f.jpg,2,0,0,2,2,outputs\error_analysis\threshold_yolov8n_640_conf025\visualizations\SNAG-00075_png_jpg.rf.4e5cc383787113bdb4e8e35ad1d5167f.jpg
data\traffic-signs\valid\images\SNAG-00076_png_jpg.rf.1b14a51ee014628c3b085f0c9a859f35.jpg,1,2,0,3,1,outputs\error_analysis\threshold_yolov8n_640_conf025\visualizations\SNAG-00076_png_jpg.rf.1b14a51ee014628c3b085f0c9a859f35.jpg
data\traffic-signs\valid\images\SNAG-00077_png_jpg.rf.235fba10ec0cc7d23845519b1a15bd92.jpg,1,0,0,1,1,outputs\error_analysis\threshold_yolov8n_640_conf025\visualizations\SNAG-00077_png_jpg.rf.235fba10ec0cc7d23845519b1a15bd92.jpg
data\traffic-signs\valid\images\SNAG-00078_png_jpg.rf.f59da08b4c6b111e8fb79b3a0d0932a3.jpg,1,0,0,1,1,outputs\error_analysis\threshold_yolov8n_640_conf025\visualizations\SNAG-00078_png_jpg.rf.f59da08b4c6b111e8fb79b3a0d0932a3.jpg
data\traffic-signs\valid\images\SNAG-00079_png_jpg.rf.bd9f73a35fc029e2dce1e672b3390bc2.jpg,2,0,0,2,2,outputs\error_analysis\threshold_yolov8n_640_conf025\visualizations\SNAG-00079_png_jpg.rf.bd9f73a35fc029e2dce1e672b3390bc2.jpg
data\traffic-signs\valid\images\SNAG-00080_png_jpg.rf.11f0b3a87501d16c5788dd6073715025.jpg,2,0,0,2,2,outputs\error_analysis\threshold_yolov8n_640_conf025\visualizations\SNAG-00080_png_jpg.rf.11f0b3a87501d16c5788dd6073715025.jpg
data\traffic-signs\valid\images\SNAG-00081_png_jpg.rf.c8487c38117e169e364daf4b981d21af.jpg,3,2,0,5,3,outputs\error_analysis\threshold_yolov8n_640_conf025\visualizations\SNAG-00081_png_jpg.rf.c8487c38117e169e364daf4b981d21af.jpg
data\traffic-signs\valid\images\SNAG-00082_png_jpg.rf.b36b877315ef6e6b74a3bd929bbdb8bc.jpg,2,0,0,2,2,outputs\error_analysis\threshold_yolov8n_640_conf025\visualizations\SNAG-00082_png_jpg.rf.b36b877315ef6e6b74a3bd929bbdb8bc.jpg
data\traffic-signs\valid\images\SNAG-00083_png_jpg.rf.40a56b1c8f5231c61e43841ffbeb7d9e.jpg,1,0,0,1,1,outputs\error_analysis\threshold_yolov8n_640_conf025\visualizations\SNAG-00083_png_jpg.rf.40a56b1c8f5231c61e43841ffbeb7d9e.jpg
data\traffic-signs\valid\images\SNAG-00084_png_jpg.rf.198c76481f4047fbe07838dbc9265a87.jpg,1,0,0,1,1,outputs\error_analysis\threshold_yolov8n_640_conf025\visualizations\SNAG-00084_png_jpg.rf.198c76481f4047fbe07838dbc9265a87.jpg
data\traffic-signs\valid\images\SNAG-00085_png_jpg.rf.b6e76513abe632d3fc9217334e7c2438.jpg,1,0,0,1,1,outputs\error_analysis\threshold_yolov8n_640_conf025\visualizations\SNAG-00085_png_jpg.rf.b6e76513abe632d3fc9217334e7c2438.jpg
data\traffic-signs\valid\images\SNAG-00086_png_jpg.rf.11c535d5b3a21646e3264e4e0ab69f3e.jpg,1,0,0,1,1,outputs\error_analysis\threshold_yolov8n_640_conf025\visualizations\SNAG-00086_png_jpg.rf.11c535d5b3a21646e3264e4e0ab69f3e.jpg
data\traffic-signs\valid\images\SNAG-00087_png_jpg.rf.00c4cd0a30bdf51ecf69147bddf2d423.jpg,1,2,0,3,1,outputs\error_analysis\threshold_yolov8n_640_conf025\visualizations\SNAG-00087_png_jpg.rf.00c4cd0a30bdf51ecf69147bddf2d423.jpg
